ID,NAME,ADDRESS,CITY,REGION,POSTALCODE,LAT,LON
ICL0003647,Dr Shuba Dharmana,"8-2-334/1, Lane Next To Tv9, Road No. 3, Beside Banjara Hills Police Station, Banjara Hills Road Number 3",Hyderabad,Telangana,500073,17.42783,78.43567
ICL0003658,Bansilal & Co,"H No 15-7-551,Near Hotel Yadav Bhavan,Main Road,Begum Bazaar",Hyderabad,Telangana,500012,17.37372,78.46859
ICL0003694,Richfeel Trichology Center Hair And Scalp Clinic,"Door No. 3-6, Flat No.101/102, Victory Vision Towers, Opp. More Supermarket, Himayath Nagar",Hyderabad,Telangana,500029,17.40172,78.4842
ICL0003709,M/S Pr Engineering Company,"H No 3 38, Suraram Colony, Ida Jeedimetla, Quthbullapur Mandal,",Hyderabad,Telangana,500055,17.53989,78.43749
ICL0003737,Hotel Sai Durga,"16-2-740/5,Gaddiannaram Road,Revenue Board Colony,Near Venkata Sai Driving School,New Malakpet",Hyderabad,Telangana,500059,17.36413,78.52188
ICL0003769,Suneel Phani And Associates,"C-93 Mig Phase1,Opp Sbh Bank And Atm,Vanasthalipuram,Vanastalipuram",Hyderabad,Telangana,500070,17.33154,78.57258
ICL0003798,Colour Lab Studio,"Street Number 8,Ss Nagar,Habsiguda",Hyderabad,Telangana,500007,17.41034,78.54428
ICL0003812,Mataam Arabian,"8-1-346/1/A/2, Old Mumbai Hwy, Sabza Colony, Brindavan Colony, Toli Chowki, Near Al Azam Tours And Travels Pvt Ltd",Hyderabad,Telangana,500008,17.40425,78.40794
ICL0003826,Synerge Active Ingredients Private Limited,"H No 7-1-638 To 643 & 643/1,Floor No 302,Bhanu Enclave,Sunder Nagar,Erragadda",Hyderabad,Telangana,500003,17.43319,78.48909
ICL0003891,Sri Venkateshwara Bricks & Building Material Supplier,"Plot No 173,Sripuram Colony,Oppsite Sri Venkateshwara Temple,Sagar Complex,Oppsite Metro Boards,Jillelaguda Road,B N Reddy Nagar,Vanastalipuram",Hyderabad,Telangana,500070,17.31844,78.56099
ICL0004037,Sn Gardens Function Hall,"93,Sri Shyam Nagar,Telecom Nagar Extension,Near Kun United Hyundai Service Centre,Gachibowli",Hyderabad,Telangana,500032,17.43381,78.36882
ICL0004062,Punjab Crockery House,"5-9-247,Abid Road,Below Khazana Jewellery,Opp Grammar School,Abids",Hyderabad,Telangana,500001,17.39262,78.47567
ICL0004102,Sree Sharada Timber Depot,"Timber Merchants,5-5-1040,Opp Volga Hotel,Gosha Mahal",Hyderabad,Telangana,500012,17.38297,78.46713
ICL0004131,The People's Co - Operative Credit Society,"4-2-102,Opposite Mysore G Store,Sultan Bazar",Hyderabad,Telangana,500095,17.38893,78.48774
ICL0004156,Menga Civil & Electrical Contractors,"Flat No 204, Sri Ram Nivas, Hasmathpet, Old Bowenpally Secunderabad,",Hyderabad,Telangana,500011,17.47946,78.48598
